TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
TINI - EL GRAN CAMBIO DE VIOLETTA,TINI - DEPOIS DE VIOLETTA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ARGENTINA,26153,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
TINKER BELL AND THE PIRATE FAIRY,TINKER BELL: FADAS E PIRATAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,434529,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
TINKERBELL AND THE LEGEND OF THE NEVERBEAST,TINKERBELL E O MONSTRO DA TERRA DO NUNCA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,559041,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
TINNITUS,TINNITUS,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1201,2023,TOTAL,NÃO SE APLICA,SIM
TINTA BRUTA,TINTA BRUTA,VITRINE FILMES LTDA,BRASIL,8290,"2018, 2019",TOTAL,NÃO SE APLICA,SIM
TIRAILLEURS,HERÓI DE SANGUE,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,FRANÇA,3966,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
TIRE 5 CARTAS,TIRE 5 CARTAS,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",BRASIL,13924,2023,TOTAL,NÃO SE APLICA,SIM
TITANIC,TITANIC 3D,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,14087,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
TITANIC,TITANIC 3D,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,502871,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
TITO E OS PÁSSAROS,TITO E OS PÁSSAROS,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,15276,"2019, 2022, 2023",TOTAL,NÃO SE APLICA,NÃO
TO CATCH A KILLER (MISANTHROPE),SEDE ASSASSINA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,34912,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
TO KALOKAIRI TIS KARMEN,NOSSO VERÃO DARIA UM FILME,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,GRÉCIA,230,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
TO LIVE TO SING,VIVER PARA CANTAR,ARTEPLEX DISTRIBUIDORA LTDA,CANADÁ,637,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
TO ROME WITH LOVE,PARA ROMA COM AMOR,SM DISTRIBUIDORA DE FILMES LTDA,ESPANHA,1266,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
TOADA PARA JOSÉ SIQUEIRA,TOADA PARA JOSÉ SIQUEIRA,COMPLO PRODUCOES E OFICINAS LTDA - ME,BRASIL,139,2022,TOTAL,NÃO SE APLICA,SIM
"TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA","TOC - TRANSTORNADA, OBSESSIVA, COMPULSIVA",FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,241475,2017,TOTAL,NÃO SE APLICA,NÃO
TODA NOITE ESTAREI LÁ,TODA NOITE ESTAREI LÁ,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,684,2024,TOTAL,NÃO SE APLICA,SIM
TODAS AS CANÇÕES DE AMOR,TODAS AS CANÇÕES DE AMOR,VITRINE FILMES LTDA,BRASIL,27703,"2018, 2019",TOTAL,NÃO SE APLICA,NÃO
TODAS AS CORES DA NOITE,TODAS AS CORES DA NOITE,INQUIETA CINEMA CULTURA E COMUNICAÇÃO LTDA - ME,BRASIL,720,2017,TOTAL,NÃO SE APLICA,SIM
TODAS AS MANHÃS DO MUNDO,TODAS AS MANHÃS DO MUNDO,FOX FILM DO BRASIL LTDA,BRASIL,11575,2017,TOTAL,NÃO SE APLICA,NÃO
TODAS AS MENINAS REUNIDAS VAMOS LÁ,TODAS AS MENINAS REUNIDAS VAMOS LÁ,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,328,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
TODAS AS RAZÕES PARA ESQUECER,TODAS AS RAZÕES PARA ESQUECER,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,2305,2018,TOTAL,NÃO SE APLICA,SIM
TODO CLICHÊ DO AMOR,TODO CLICHÊ DO AMOR,MUK PRODUÇÕES S/S LTDA. ME.,BRASIL,573,2018,TOTAL,NÃO SE APLICA,SIM
TODOS,TODOS,ACCORDE FILMES LTDA.,BRASIL,93,2017,TOTAL,NÃO SE APLICA,NÃO
TODOS LOS NOMBRES DE DIOS,O REFÉM - ATENTADO EM MADRI,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESPANHA,7696,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
TODOS OS MORTOS,TODOS OS MORTOS,VITRINE FILMES LTDA,FRANÇA,599,"2020, 2021",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA,NÃO
TODOS OS PAULOS DO MUNDO,TODOS OS PAULOS DO MUNDO,VITRINE FILMES LTDA,BRASIL,2846,2018,TOTAL,NÃO SE APLICA,NÃO
