TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
ETERNALS,ETERNOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4155043,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
EU FICO LOKO,EU FICO LOKO,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,560426,2017,TOTAL,NÃO SE APLICA,NÃO
EU NUNCA,EU NUNCA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,491,"2015, 2016",TOTAL,NÃO SE APLICA,SIM
EU NÃO FAÇO A MENOR IDEIA DO QUE EU TÔ FAZENDO COM A MINHA VIDA,EU NÃO FAÇO A MENOR IDEIA DO QUE EU TÔ FAZENDO COM A MINHA VIDA,VITRINE FILMES LTDA,BRASIL,4422,"2014, 2015",TOTAL,NÃO SE APLICA,SIM
EU SINTO MUITO,EU SINTO MUITO,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2860,2019,TOTAL,NÃO SE APLICA,NÃO
EU SOU BRASILEIRO,EU SOU BRASILEIRO,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1512,2019,TOTAL,NÃO SE APLICA,NÃO
EU SOU CARLOS IMPERIAL,EU SOU CARLOS IMPERIAL,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,3161,2016,TOTAL,NÃO SE APLICA,NÃO
EU SOU MAIS EU,EU SOU MAIS EU,WMIX DISTRIBUIDORA LTDA.,BRASIL,126718,2019,TOTAL,NÃO SE APLICA,NÃO
EU SOU MARIA,EU SOU MARIA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,543,2023,TOTAL,NÃO SE APLICA,NÃO
EU TE LEVO,EU TE LEVO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,472,2017,TOTAL,NÃO SE APLICA,NÃO
"EU, UM OUTRO","EU, UM OUTRO",O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,553,"2022, 2023",TOTAL,NÃO SE APLICA,SIM
EUFORIA,EUFORIA,CIRCUITO CINEARTE LTDA,ITÁLIA,2018,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
EVA NO DUERME,EVA NÃO DORME,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ARGENTINA,6463,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
EVEREST,EVERESTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,423851,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
EVERY DAY,TODO DIA,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,114908,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
EVERY THING WILL BE FINE,TUDO VAI FICAR BEM,MARES FILMES EIRELI,ALEMANHA,11566,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
EVERYBODY KNOWS,TODOS JÁ SABEM,SM DISTRIBUIDORA DE FILMES LTDA,ESPANHA,105095,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
EVERYBODY WANTS SOME,"JOVENS, LOUCOS E MAIS REBELDES",ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,3087,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
EVERYDAY,TODOS OS DIAS,ESFERA PRODUÇÕES CULTURAIS EIRELI,REINO UNIDO,5971,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
EVERYTHING EVERYWHERE ALL AT ONCE,TUDO EM TODO O LUGAR AO MESMO TEMPO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,317309,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
EVERYTHING WILL BE FINE,TUDO FICARÁ BEM,FREDERICO DA CRUZ MACHADO - ME,DINAMARCA,39,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
"EVERYTHING, EVERYTHING",TUDO E TODAS AS COISAS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,123788,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
EVIDÊNCIAS DO AMOR,EVIDÊNCIAS DO AMOR,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,296181,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1094681,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
EVOLUTION,EVOLUTION,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,857,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
EX-PAJÉ,EX-PAJÉ,GULLANE ENTRETENIMENTO S.A.,BRASIL,9133,2018,TOTAL,NÃO SE APLICA,SIM
EXCELENTÍSSIMOS,EXCELENTÍSSIMOS,VITRINE FILMES LTDA,BRASIL,2210,"2018, 2019",TOTAL,NÃO SE APLICA,SIM
EXERCÍCIO DO CAOS,EXERCÍCIO DO CAOS,FREDERICO DA CRUZ MACHADO - ME,BRASIL,21,2014,TOTAL,NÃO SE APLICA,SIM
EXILADOS DO VULCÃO,EXILADOS DO VULCÃO,LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME,BRASIL,1052,2016,TOTAL,NÃO SE APLICA,NÃO
EXODUS - DE ONDE VIM NÃO EXISTE MAIS,EXODUS - DE ONDE VIM NÃO EXISTE MAIS,SM DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,5953,2017,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA,NÃO
EXODUS: GODS AND KINGS,ÊXODO: DEUSES E REIS,FOX FILM DO BRASIL LTDA,ESPANHA,4128828,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
EXTRAÑA FORMA DE VIDA,ESTRANHA FORMA DE VIDA VERSÃO ESTENDIDA,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ESPANHA,46180,"2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
"EXTREMELY WICKED, SHOCKINGLY, EVIL AND VILE",TED BUNDY - A IRRESISTÍVEL FACE DO MAL,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,95858,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
EYE IN THE SKY,DECISÃO DE RISCO,SM DISTRIBUIDORA DE FILMES LTDA,REINO UNIDO,23968,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
EYE ON JULIET,OLHOS DO DESERTO,ESFERA PRODUÇÕES CULTURAIS EIRELI,CANADÁ,1116,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
EYES WIDE SHUT,DE OLHOS BEM FECHADOS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,273,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
EZRA,"MEU FILHO, NOSSO MUNDO",DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,13235,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
FABIAN GOING TO THE DOGS,FABIAN - O MUNDO ESTÁ ACABANDO,ZETA FILMES LTDA,ALEMANHA,537,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
FADING GIGOLO,AMANTE A DOMICÍLIO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,229073,"2014, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FADO TROPICAL,FADO TROPICAL,CAVIDEO PRODUÇÕES COMÉRCIO E LOCAÇÃO DE FILMES LTDA,BRASIL,274,2022,TOTAL,NÃO SE APLICA,SIM
FAHIM,A CHANCE DE FAHIM,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,8805,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
FAI BEI SOGNI,BELOS SONHOS,MARES FILMES EIRELI,FRANÇA,13949,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FALA COMIGO,FALA COMIGO,VITRINE FILMES LTDA,BRASIL,8989,"2016, 2017, 2018",TOTAL,NÃO SE APLICA,SIM
FALA SÉRIO!,FALA SÉRIO!,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,497,2015,TOTAL,NÃO SE APLICA,NÃO
"FALA SÉRIO, MÃE!","FALA SÉRIO, MÃE!",FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,2910246,"2017, 2018, 2020",TOTAL,NÃO SE APLICA,NÃO
FALLEN,FALLEN,H20 PRODUÇÕES LTDA,ESTADOS UNIDOS,237474,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FALLEN LEAVES,FOLHAS DE OUTONO,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ALEMANHA,32942,"2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
FALLING,AINDA HÁ TEMPO,ANTONIO FERNANDES FILMES LTDA,CANADÁ,369,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FAMILY ROMANCE,UMA HISTÓRIA DE FAMÍLIA,ARTEPLEX DISTRIBUIDORA LTDA,ESTADOS UNIDOS,4818,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
FAMÍLIA DE AXÉ,FAMÍLIA DE AXÉ,DISTRIBUIDORA DE FILMES S/A RIOFILME,BRASIL,97,2020,TOTAL,NÃO SE APLICA,SIM
FANTASMA,FANTASMA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1374,2024,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA,SIM
FANTASTIC BEASTS AND WHERE TO FIND THEM,ANIMAIS FANTÁSTICOS E ONDE HABITAM,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,4352672,"2016, 2017, 2018, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD,ANIMAIS FANTÁSTICOS: OS CRIMES DE GRINDELWALD,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,3549158,"2018, 2019, 2020, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE,ANIMAIS FANTÁSTICOS: OS SEGREDOS DE DUMBLEDORE,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2499873,"2022, 2023, 2024",NÃO SE APLICA,NÃO SE APLICA,SIM
FANTASTICA,FANTÁSTICA,LANCA DISTRIBUIDORA DE FILMES LTDA,CHINA,51505,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FANTASY ISLAND,A ILHA DA FANTASIA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,149488,"2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
FAR FROM THE TREE,LONGE DA ÁRVORE,FLOW FILMES LTDA.,ESTADOS UNIDOS,4843,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
FAROESTE CABOCLO,FAROESTE CABOCLO,CANNES PRODUÇÕES S/A,BRASIL,29,2014,TOTAL,NÃO SE APLICA,NÃO
FASLE KARGADAN,O ÚLTIMO POEMA DO RINOCERONTE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,IRÃ,10264,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FAST & FURIOUS 6,VELOZES E FURIOSOS 6,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,133,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FAST & FURIOUS 9,VELOZES & FURIOSOS 9,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,4234919,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FAST & FURIOUS PRESENTS: HOBBS & SHAW,VELOZES & FURIOSOS: HOBBS & SHAW,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,2743755,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FAST X,VELOZES E FURIOSOS 10,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,1193,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FAST X,VELOZES E FURIOSOS 10,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,6567043,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FATE STAY NIGHT HEAVENS FEEL: III - SPRING SONG,FATE STAY NIGHT HEAVEN’S FEEL: PARTE 3,CINECOLOR DO BRASIL LTDA,JAPÃO,321,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FATHER FIGURES,CORRENDO ATRÁS DE UM PAI,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,100159,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FATHER STU,LUTA PELA FÉ A HISTÓRIA DO PADRE STU,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,13947,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
FATHERS AND DAUGHTERS,PAIS E FILHAS,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,14601,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FATIMA,FÁTIMA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,10696,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
FAUSTO FAWCETT NA CABEÇA,FAUSTO FAWCETT NA CABEÇA,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,600,2024,TOTAL,NÃO SE APLICA,SIM
FAZ SOL LÁ SIM,FAZ SOL LÁ SIM,LIRA FILMES PRODUÇÕES LTDA ME,BRASIL,57,2020,TOTAL,NÃO SE APLICA,NÃO
FEATHERS,O TRUQUE DA GALINHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,727,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
FEBRE DO RATO,FEBRE DO RATO,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1064,2015,TOTAL,NÃO SE APLICA,NÃO
FEI YUE LAO REN YUAN,O CICLO DA VIDA,ESFERA PRODUÇÕES CULTURAIS EIRELI,CHINA,10984,"2015, 2016, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
FELIZ ANO VELHO,FELIZ ANO VELHO,BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI,BRASIL,125,2018,TOTAL,NÃO SE APLICA,SIM
FENCES,UM LIMITE ENTRE NÓS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,83870,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FERDINAND,O TOURO FERDINANDO,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,3447922,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
FERNANDA YOUNG - FOGE-ME AO CONTROLE,FERNANDA YOUNG - FOGE-ME AO CONTROLE,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,BRASIL,6057,2024,TOTAL,NÃO SE APLICA,NÃO
FERNANDO,FERNANDO,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,351,"2019, 2020",TOTAL,NÃO SE APLICA,SIM
FERRARI,FERRARI,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,267465,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
FERRUGEM,FERRUGEM,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,27880,"2018, 2019",TOTAL,NÃO SE APLICA,NÃO
FERVO,FERVO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,11517,2023,TOTAL,NÃO SE APLICA,NÃO
FEVER DREAM,O FIO INVISÍVEL,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,CHILE,197,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FEVEREIROS,FEVEREIROS,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,18198,2019,TOTAL,NÃO SE APLICA,NÃO
FICA MAIS ESCURO ANTES DO AMANHECER,FICA MAIS ESCURO ANTES DO AMANHECER,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,525,2018,TOTAL,NÃO SE APLICA,SIM
FICO TE DEVENDO UMA CARTA SOBRE O BRASIL,FICO TE DEVENDO UMA CARTA SOBRE O BRASIL,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,156,2020,TOTAL,NÃO SE APLICA,NÃO
"FIDELIO, L'ODYSSÉE D'ALICE",A ODISSEIA DE ALICE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,4201,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FIFTY SHADES DARKER,CINQUENTA TONS MAIS ESCUROS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,4597789,"2017, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FIFTY SHADES FREED,CINQUENTA TONS DE LIBERDADE,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,4325693,"2018, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FIFTY SHADES OF BLACK,CINQUENTA TONS DE PRETO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,813265,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FIFTY SHADES OF GREY,CINQUENTA TONS DE CINZA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,6686141,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FIFTY SHADES OF GREY,CINQUENTA TONS DE CINZA,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,99,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
FIGHT VALLEY,VALE DA LUTA,ENCRIPTA S/A,ESTADOS UNIDOS,162,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FILGIA MIA,MINHA FILHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ITÁLIA,8557,"2018, 2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FILHO DE BOI,FILHO DE BOI,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,1035,2024,TOTAL,NÃO SE APLICA,SIM
FILHOS DE BACH,FILHOS DE BACH,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ALEMANHA,3297,2017,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA,NÃO
FILHOS DO PAI ETERNO,FILHOS DO PAI ETERNO,WMIX DISTRIBUIDORA LTDA.,BRASIL,16,2019,TOTAL,NÃO SE APLICA,SIM
"FILLES DU SOLEIL, LES",FILHAS DO SOL,ANTONIO FERNANDES FILMES LTDA,BÉLGICA,2550,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FILM STARS DON'T DIE IN LIVERPOOL,ESTRELAS DE CINEMA NUNCA MORREM,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,REINO UNIDO,11157,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FILME ENSAIO,FILME ENSAIO,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,26,2022,TOTAL,NÃO SE APLICA,NÃO
FILME JARDIM ATLÂNTICO,FILME JARDIM ATLÂNTICO,WILLIAM CUBITS CAPELA,BRASIL,87,2014,TOTAL,NÃO SE APLICA,NÃO
FILME PAISAGEM - UM OLHAR SOBRE ROBERTO BURLE MARX,FILME PAISAGEM - UM OLHAR SOBRE ROBERTO BURLE MARX,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2182,"2018, 2019",TOTAL,NÃO SE APLICA,NÃO
FILME SOBRE UM BOM FIM,FILME SOBRE UM BOM FIM,BOULEVARD FILMES LTDA,BRASIL,4290,"2015, 2016",TOTAL,NÃO SE APLICA,SIM
FIM DE FESTA,FIM DE FESTA,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,5770,"2020, 2021, 2022",TOTAL,NÃO SE APLICA,SIM
"FIM E O PRINCÍPIO, O","FIM E O PRINCÍPIO, O",VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,BRASIL,64,2023,TOTAL,NÃO SE APLICA,NÃO
FINAL SCORE,REFÉM DO JOGO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,50672,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FINDING DORY,PROCURANDO DORY,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,8161102,"2016, 2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
FINDING NEMO,PROCURANDO NEMO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,5485,"2014, 2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
FINDING YOUR FEET,ACERTANDO O PASSO,ANTONIO FERNANDES FILMES LTDA,REINO UNIDO,22073,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
FINNICK,OS PELUDOS,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,RÚSSIA,64588,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FIREBIRD,SEGREDOS DE GUERRA,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,ESTÔNIA,3105,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FIREHEART,CORAÇÃO DE FOGO,SM DISTRIBUIDORA DE FILMES LTDA,CANADÁ,215165,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
FIRESTARTER,CHAMAS DA VINGANÇA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,31981,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
FIRST COW,FIRST COW: A PRIMEIRA VACA DA AMÉRICA,VITRINE FILMES LTDA,ESTADOS UNIDOS,1088,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
FIRST MAN,O PRIMEIRO HOMEM,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,299778,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
FITZCARRALDO,FITZCARRALDO,F. J. CINES LTDA,ALEMANHA,510,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FIVE FEET APART,A CINCO PASSOS DE VOCÊ,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1347574,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FIVE NIGHTS AT FREDDY'S,FIVE NIGHTS AT FREDDY'S - O PESADELO SEM FIM,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,409,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FIVE NIGHTS AT FREDDY'S,FIVE NIGHTS AT FREDDY'S - O PESADELO SEM FIM,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2957571,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FLATLINERS,ALÉM DA MORTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,241686,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
FLEE,FLEE - NENHUM LUGAR PARA CHAMAR DE LAR,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DINAMARCA,4763,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
FLORBELA,FLORBELA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,5661,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FLORENCE FOSTER JENKINS,FLORENCE: QUEM É ESSA MULHER?,WMIX DISTRIBUIDORA LTDA.,REINO UNIDO,135528,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
FLORES RARAS,FLORES RARAS,WMIX DISTRIBUIDORA LTDA.,BRASIL,13,2014,TOTAL,NÃO SE APLICA,NÃO
FLORIDE,A VIAGEM DE MEU PAI,MARES FILMES EIRELI,FRANÇA,19124,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
FLUXO,FLUXO,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,BRASIL,137,2023,TOTAL,NÃO SE APLICA,NÃO
FLY ME TO THE MOON,COMO VENDER A LUA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,55944,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
FOCUS,GOLPE DUPLO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1291597,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FOGARÉU,FOGARÉU,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,121,2024,MAJORITÁRIA,NÃO SE APLICA,SIM
FOGO FÁTUO,FOGO FÁTUO,VITRINE FILMES LTDA,PORTUGAL,967,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
FOLLOW ME,SEM SAÍDA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,81411,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
FOME,FOME,VITRINE FILMES LTDA,BRASIL,1193,2016,TOTAL,NÃO SE APLICA,SIM
FONTE DA JUVENTUDE,FONTE DA JUVENTUDE,PINDORAMA FILMES LTDA,BRASIL,120,2017,TOTAL,NÃO SE APLICA,SIM
FOOTLOOSE,FOOTLOOSE - RITMO LOUCO,CINEMARK BRASIL S.A,ESTADOS UNIDOS,2411,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
FOR SAMA,FOR SAMA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ESTADOS UNIDOS,37,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
FORA DE CENA,FORA DE CENA,KINOPUS AUDIOVISUAL LTDA - ME,BRASIL,146,2022,TOTAL,NÃO SE APLICA,SIM
FORAM OS SUSSURROS QUE ME MATARAM,FORAM OS SUSSURROS QUE ME MATARAM,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,273,2024,TOTAL,NÃO SE APLICA,SIM
FORCE MAJEURE,FORÇA MAIOR,ANTONIO FERNANDES FILMES LTDA,SUÉCIA,13735,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
FORD V FERRARI,FORD VS FERRARI,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,290610,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
FORO ÍNTIMO,FORO ÍNTIMO,EMBAUBA FILMES LTDA,BRASIL,665,2019,TOTAL,NÃO SE APLICA,SIM
