TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
KANG DANIEL: MY PARADE,KANG DANIEL: MY PARADE,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO SUL,77,2023
KARDEC,,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,BRASIL,749256,2019
KAREN LLORA EN UN BUS,KAREN CHORA NO ÔNIBUS,FREDERICO DA CRUZ MACHADO - ME,COLÔMBIA,2367,"2014, 2015"
KAZE TACHINU,VIDAS AO VENTO,ANTONIO FERNANDES FILMES LTDA,JAPÃO,20147,2014
KEDI,GATOS,CIRCUITO CINEARTE LTDA,PERU,17874,2017
KEEP THE LIGHTS ON,DEIXE A LUZ ACESA,ZETA FILMES LTDA,ESTADOS UNIDOS,279,"2014, 2015"
KEVIN,,ANAVILHANA FILMES LTDA - ME,BRASIL,552,"2022, 2023"
KEVIN,,EMBAUBA FILMES LTDA,BRASIL,4,2022
KHUMBA,KHUMBA,WMIX DISTRIBUIDORA LTDA.,ÁFRICA DO SUL,237354,2014
KIDNAP,O SEQUESTRO,H20 PRODUÇÕES LTDA,ESTADOS UNIDOS,62183,2017
KIDNAPPING FREDDY HEINEKEN,JOGADA DE MESTRE,WMIX DISTRIBUIDORA LTDA.,BÉLGICA,109139,2015
"KIKI,EL AMOR SE HACE",KIKI: OS SEGREDOS DO DESEJO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,17962,2017
KILL,KILL - O MASSACRE NO TREM,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,9330,2024
KILL THE MESSENGER,O MENSAGEIRO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,8997,"2014, 2015"
KILL YOUR DARLINGS,VERSOS DE UM CRIME,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,7854,2014
KILLERS OF THE FLOWER MOON,ASSASSINOS DA LUA DAS FLORES,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,455855,"2023, 2024"
KILLING GROUND,O ACAMPAMENTO,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,AUSTRÁLIA,2153,2017
KIN,KIN,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3639,2018
KINDS OF KINDNESS,TIPOS DE GENTILEZA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,50345,2024
KING ARTHUR: LEGEND OF THE SWORD,REI ARTHUR: A LENDA DA ESPADA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,952787,"2017, 2018"
KING KONG EM ASUNCIÓN,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,1012,2021
KING RICHARD,KING RICHARD: CRIANDO CAMPEÃS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,56232,"2021, 2022"
KINGDOM OF THE PLANET OF THE APES,PLANETA DOS MACACOS: O REINADO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2923406,2024
KINGSMAN: THE GOLDEN CIRCLE,KINGSMAN: O CÍRCULO DOURADO,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,1028875,2017
KINGSMAN: THE SECRET SERVICE,KINGSMAN SERVIÇO SECRETO,FOX FILM DO BRASIL LTDA,REINO UNIDO,884340,2015
KIRIKOU ET LES HOMMES ET LES FEMMES,KIRIKU: OS HOMENS E AS MULHERES,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,2928,"2015, 2016, 2017"
KISEKI,O QUE EU MAIS DESEJO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,JAPÃO,70,2015
KLONDIKE,KLONDIKE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,TURQUIA,1044,2022
KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,JAPÃO,260042,2023
KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO,STARK'S CINEMA E LANCHONETE LTDA.,JAPÃO,216,2023
KNIVES AND SKIN,KNIVES AND SKIN,ZETA FILMES LTDA,ESTADOS UNIDOS,175,2021
KNIVES OUT,ENTRE FACAS E SEGREDOS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,543658,"2019, 2020"
KNOCK AT THE CABIN,BATEM À PORTA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,329715,2023
KNOCK KNOCK,KNOCK KNOCK,SM DISTRIBUIDORA DE FILMES LTDA,CHILE,52289,2015
KNOX GOES AWAY,PACTO DE REDENÇÃO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,41196,2024
KOBRA - AUTO-RETRATO,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,4262,"2022, 2023"
KOLLEKTIVET,A COMUNIDADE,ANTONIO FERNANDES FILMES LTDA,DINAMARCA,20310,2016
KOMPROMAT,KOMPROMAT,CINEMATOGRÁFICA POLIFILMES LTDA-ME,FRANÇA,2231,2022
KONG: SKULL ISLAND,KONG - A ILHA DA CAVEIRA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1903024,"2017, 2020"
KRAFTIDIOTEN,O CIDADÃO DO ANO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,NORUEGA,6164,2015
KUBO AND THE TWO STRINGS,KUBO E AS CORDAS MÁGICAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,140921,2016
KUMA,A SEGUNDA ESPOSA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,FRANÇA,10086,2016
KUNG FU PANDA 2,KUNG FU PANDA 2,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3,2020
KUNG FU PANDA 3,KUNG FU PANDA 3,FOX FILM DO BRASIL LTDA,CHINA,1757958,2016
KUNG FU PANDA 3,KUNG FU PANDA 3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,CHINA,348,2019
KUNG FU PANDA 4,KUNG FU PANDA 4,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2144099,2024
KURSK,KURSK - A ÚLTIMA MISSÃO,SM DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,7792,2020
KURT COBAIN: MONTAGE OF HECK,,CINEMARK BRASIL S.A,,4784,2015
KURU OTLAR ÜSTÜNE,ERVAS SECAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,TURQUIA,2838,2024
KÓBLIC,KÓBLIC,SM DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,62804,"2016, 2017"
KÛKAI,O MISTÉRIO DO GATO CHINÊS,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,CHINA,7613,2019
L'ADIEU À LA NUIT,ADEUS À NOITE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ALEMANHA,12913,2019
L'AMANT D'UN JOUR,AMANTE POR UM DIA,P & M DISTRIBUIDORA DE FILMES LTDA,FRANÇA,11284,2018
L'AMOUR EST UN CRIME PARFAIT,O AMOR É UM CRIME PERFEITO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,9931,"2014, 2015"
L'APPARITION,A APARIÇÃO,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,7259,2018
L'ART D'AIMER,A ARTE DE AMAR,MARES FILMES EIRELI,FRANÇA,121,2015
L'ASTRAGALE,ASTRÁGALO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,1303,"2016, 2017"
L'ATELIER,A TRAMA,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,4349,"2017, 2018"
L'ATTESA,A ESPERA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,14569,2017
L'AVENIR,O QUE ESTÁ POR VIR,ZETA FILMES LTDA,ALEMANHA,23803,"2016, 2017"
L'ECONOMIE DU COUPLE,A ECONOMIA DO AMOR,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,8451,"2016, 2017"
L'ENFANT D'EN HAUT,MINHA IRMÃ,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,1911,"2014, 2015"
L'ESTATE ADDOSSO,SOBRE VIAGENS E AMORES,LANCA DISTRIBUIDORA DE FILMES LTDA,ITÁLIA,4960,2017
L'EXTRAVAGANT VOYAGE DU JEUNE ET PRODIGIEUX T.S. SPIVET,UMA VIAGEM EXTRAORDINÁRIA,ANTONIO FERNANDES FILMES LTDA,FRANÇA,14925,"2014, 2015"
L'HERMINE,A CORTE,ANTONIO FERNANDES FILMES LTDA,FRANÇA,7005,2016
L'HEURE D'ÉTÉ,HORAS DE VERÃO,MOSTRA INTERNACIONAL DE CINEMA LTDA,FRANÇA,78,2018
L'HOMME FIDÈLE,UM HOMEM FIEL,OMF SERVICOS & CONSULTORIA LTDA,FRANÇA,325,2019
L'HOMME QU'ON AIMAIT TROP,O HOMEM QUE ELAS AMAVAM DEMAIS,MARES FILMES EIRELI,FRANÇA,22833,2015
L'HOMME QUI RIT,O HOMEM QUE RI,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,73,2014
L'IMAGE MANQUANTE,A IMAGEM QUE FALTA,H20 PRODUÇÕES LTDA,CAMBOJA,2823,"2014, 2015"
L'INCONNU DU LAC,UM ESTRANHO NO LAGO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,6887,"2014, 2015"
L'ODYSSÉE,A ODISSEIA,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,6253,2018
L'ÉCHANGE DES PRINCESSES,TROCA DE RAINHAS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,24656,2018
L'ÉCUME DES JOURS,"ESPUMA DOS DIAS, A",PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,604,"2014, 2015"
L'ÉTOILE FILANTE,A ESTRELA CADENTE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,1666,2024
L'ÉTÉ DERNIER,CULPA E DESEJO,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,FRANÇA,2087,"2023, 2024"
L'ÉVÉNEMENT,O ACONTECIMENTO,ZETA FILMES LTDA,FRANÇA,4162,2022
L.O.C.A.,,WMIX DISTRIBUIDORA LTDA.,BRASIL,10,2021
LA ACADEMIA DE LAS MUSAS,A ACADEMIA DAS MUSAS,OMF SERVICOS & CONSULTORIA LTDA,ESPANHA,3335,2016
LA BANDA PICASSO,PICASSO E O ROUBO DA MONA LISA,ESFERA PRODUÇÕES CULTURAIS EIRELI,ESPANHA,5420,"2015, 2016"
LA BELLE EPOQUE,BELLE EPOQUE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,BÉLGICA,5132,"2020, 2021"
LA BELLE ET LA BELLE,QUANDO MARGOT ENCONTRA MARGOT,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,6041,2019
LA BELLE SAISON,UM BELO VERÃO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,5286,2016
LA BOHÈME,LA BOHÈME,CINEMARK BRASIL S.A,INGLATERRA,1121,2015
LA BRIGADE,A BRIGADA DA CHEF,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,3675,"2022, 2023"
LA CAGE DORÉE,A GAIOLA DOURADA,MARES FILMES EIRELI,FRANÇA,32541,"2014, 2015"
LA CAMA,,LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME,ARGENTINA,2068,2019
LA CAMÉRA DE CLAIRE,A CÂMERA DE CLAIRE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,13810,"2018, 2019, 2022"
LA CORRISPONDENZA,LEMBRANÇAS DE UM AMOR ETERNO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ITÁLIA,22998,2016
LA CROISADE,UM PEQUENO GRANDE PLANO,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,FRANÇA,1026,2022
LA DAME DANS L'AUTO AVEC DES LUNETTES ET UN FUSIL,UMA DAMA DE OCULOS ESCUROS COM UMA ARMA NO CARRO,RJ DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,2085,"2017, 2018"
LA DARONNE,A DONA DO BARATO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,8035,"2021, 2022"
LA DERNIÈRE FOLIE DE CLAIRE DARLING,A ÚLTIMA LOUCURA DE CLAIRE DARLING,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,23368,"2019, 2020"
LA DERNIÈRE LEÇON,A ÚLTIMA LIÇÃO,ESFERA PRODUÇÕES CULTURAIS EIRELI,FRANÇA,4685,"2016, 2017"
LA DERNIÈRE REINE,A ÚLTIMA RAINHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ARGÉLIA,1597,2023
LA DOLCE VITA,A DOCE VIDA,F. J. CINES LTDA,FRANÇA,3965,"2015, 2016, 2018"
LA ESTRATÉGIA DEL MERO,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,532,2024
LA FAMILLE BELIER,A FAMILIA BELIER,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,92481,"2014, 2015"
LA FILLE DE BREST,150 MILIGRAMAS,ANTONIO FERNANDES FILMES LTDA,FRANÇA,762,2017
LA FINE FLEUR,ENTRE ROSAS,ANTONIO FERNANDES FILMES LTDA,FRANÇA,2923,2022
LA FRACTURE,A FRATURA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,4128,"2021, 2022, 2023"
LA FRENCH,CONEXÃO FRANCESA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,18650,2016
LA GRANDE BELLEZZA,A GRANDE BELEZA,MARES FILMES EIRELI,ITÁLIA,151075,"2014, 2015"
LA GUERRE DES BOUTONS,A GUERRA DOS BOTÕES,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,57,2014
LA JALOUSIE,O CIÚME,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,FRANÇA,19052,"2014, 2015, 2016"
LA JAULA DE ORO,LA JAULA DE ORO,CAFCO FILMES EIRELI - ME (BAIXADO),MÉXICO,660,2014
LA LA LAND,LA LA LAND – CANTANDO ESTAÇÕES,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1400012,"2017, 2020"
LA LIGNE,A LINHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,SUÍÇA,714,"2023, 2024"
LA LLORONA,A CHORONA,ENCRIPTA S/A,GUATEMALA,4128,2021
LA LOI DU MARCHÉ,O VALOR DE UM HOMEM,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,12929,"2016, 2017"
LA LUTTE DES CLASSES,LUTA DE CLASSES,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,1428,"2019, 2020"
LA MAISON,A CASA DOS PRAZERES,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,5383,"2023, 2024"
LA MARCHE,A MARCHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,539,"2015, 2016"
LA MEGLIO GIOVENTU,A MELHOR JUVENTUDE,ARTEPLEX DISTRIBUIDORA LTDA,ITÁLIA,5229,"2020, 2021"
LA MEGLIO GIOVENTU,A MELHOR JUVENTUDE - PARTE 2,ARTEPLEX DISTRIBUIDORA LTDA,ITÁLIA,3633,"2020, 2021"
LA MIRADA INVISIBLE,O OLHAR INVISÍVEL,ESFERA PRODUÇÕES CULTURAIS EIRELI,ARGENTINA,647,"2014, 2015"
LA MORT DE LOUIS XIV,A MORTE DE LUÍS XIV,ZETA FILMES LTDA,ESPANHA,5170,2017
LA NANA,A CRIADA,ESFERA PRODUÇÕES CULTURAIS EIRELI,CHILE,508,"2014, 2015, 2016"
LA NIÑA DE LA COMUNIÓN,A PRIMEIRA COMUNHÃO,SM DISTRIBUIDORA DE FILMES LTDA,ESPANHA,29030,2023
LA NOCHE DE 12 AÑOS,A NOITE DE 12 ANOS,VITRINE FILMES LTDA,ARGENTINA,79304,"2018, 2019"
LA NOVIA DEL DESIERTO,A NOIVA DO DESERTO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,6145,2018
LA ODISEA DE LOS GILES,A ODISSEIA DOS TONTOS,WARNER BROS. (SOUTH) INC.,ARGENTINA,127491,"2019, 2020"
LA PARLE,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,978,2023
LA PAZZA GIOIA,LOUCAS DE ALEGRIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,20740,"2016, 2017"
LA PERMISSION DE MINUIT,A CRIANÇA DA MEIA-NOITE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,70,2015
LA PERSONNE AUX DEUX PERSONNES,DOIS EM UM,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,FRANÇA,103,2015
LA PIEL QUE HABITO,A PELE QUE HABITO,SM DISTRIBUIDORA DE FILMES LTDA,ESPANHA,74,2014
LA PLAYA D.C,,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,537,"2014, 2015"
LA PRIÈRE,A PRECE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,4102,"2018, 2019, 2020"
LA PROMESSE DE L’AUBE,PROMESSA AO AMANHECER (2017),BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,FRANÇA,11499,2018
LA RAGAZZA NELLA NEBBIA,A GAROTA NA NÉVOA,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ITÁLIA,4144,"2018, 2019"
LA RANÇON DE LA GLOIRE,O PREÇO DA FAMA,MARES FILMES EIRELI,FRANÇA,6046,"2015, 2016"
LA RELIGIEUSE,A RELIGIOSA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,396,"2014, 2015"
LA RITOURNELLE,UM AMOR EM PARIS,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,FRANÇA,29135,"2014, 2015"
LA RIZIÈRE,A MENINA DOS CAMPOS DE ARROZ,ESFERA PRODUÇÕES CULTURAIS EIRELI,CHINA,6070,"2014, 2015, 2016"
LA SAPIENZA,LA SAPIENZA,OMF SERVICOS & CONSULTORIA LTDA,FRANÇA,12222,2015
LA SIRVIENTA,A SERVA,AM DE MORAIS PRODUCOES E EVENTOS,ESPANHA,2264,2024
LA SITUACIÓN,,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,9653,2023
LA SOCIEDAD DE LA NIEVE,A SOCIEDADE DA NEVE,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,CHILE,1746,"2023, 2024"
LA SOURCE DES FEMMES,A FONTE DAS MULHERES,SM DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,418,2015
LA STRANEZZA,A ESTRANHA COMÉDIA DA VIDA,RISI FILM BRASIL LTDA.,ITÁLIA,943,"2023, 2024"
LA SYNDICALISTE,A SINDICALISTA,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,ALEMANHA,5678,"2023, 2024"
LA TEORIA DE LOS VIDRIOS ROTOS,,OKNA PRODUÇÕES CULTURAIS LTDA,BRASIL,217,2022
LA TIERRA Y LA SOMBRA,A TERRA E A SOMBRA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,COLÔMBIA,3233,"2015, 2016"
LA TÊTE HAUTE,DE CABEÇA ERGUIDA,MARES FILMES EIRELI,FRANÇA,18300,2015
LA VACHE,A INCRÍVEL JORNADA DE JACQUELINE,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,9801,2016
LA VANITÉ,LA VANITÉ,OMF SERVICOS & CONSULTORIA LTDA,FRANÇA,5245,2016
LA VIDA DE LOS PECES,"VIDA DOS PEIXES, A",ESFERA PRODUÇÕES CULTURAIS EIRELI,CHILE,762,"2014, 2015"
LA VIDA ÚTIL,LA VIDA ÚTIL - UM CONTO DE CINEMA,VITRINE FILMES LTDA,URUGUAI,29,"2014, 2019"
LA VIE D'ADÈLE - CHAPITRES 1 ET 2 AKA LE BLEU EST UNE COULEUR CHAUDE E LA VIE D'ADÈLE,AZUL É A COR MAIS QUENTE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,54331,"2014, 2015, 2016"
LA VIE DE CHATEAU,CHATEAU - PARIS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,2691,"2018, 2022"
LA VILLA,UMA CASA À BEIRA MAR,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,41907,2018
LA VINGANÇA,,SM DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,5207,2017
LA VITTA IN COMUNE,A VIDA EM FAMÍLIA,PAGU DISTRIBUICAO DE FILMES LTDA.,ITÁLIA,17070,2018
LA VOZ DORMIDA,A VOZ ADORMECIDA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,325,2014
LABOR DAY,REFÉM DA PAIXÃO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,25858,2014
LADY AND THE TRAMP,A DAMA E O VAGABUNDO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,1956,2016
LADY BIRD,LADY BIRD - A HORA DE VOAR,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,103442,2018
LADY MACBETH,LADY MACBETH,ANTONIO FERNANDES FILMES LTDA,INGLATERRA,28641,2017
LAILA IN HAIFA,UMA NOITE EM HAIFA,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,FRANÇA,3028,"2023, 2024"
LAISSEZ-MOI,DEIXE-ME,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,SUÍÇA,1238,2024
LAMAÇAL,,ELO AUDIOVISUAL SERVIÇOS LTDA,ARGENTINA,89,2021
LAMENTO,,MORO COMUNICACAO LTDA,BRASIL,286,2021
LAMPARINA DA AURORA,,FREDERICO DA CRUZ MACHADO - ME,BRASIL,1385,"2017, 2018"
LAND OF BAD,ZONA DE RISCO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,142690,2024
LARA,LARA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,1140,"2021, 2022"
LAS ACACIAS,LAS ACACIAS,VITRINE FILMES LTDA,ARGENTINA,247,"2014, 2017, 2019"
LAS HIJAS DEL FUEGO,AS FILHAS DO FOGO,VITRINE FILMES LTDA,ARGENTINA,6089,2019
LAS INESES,,OKNA PRODUÇÕES CULTURAIS LTDA,ARGENTINA,897,2019
LAS INSOLADAS,LAS INSOLADAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,7623,2015
LAS TONINAS VAN AL ESTE,OS GOLFINHOS VÃO PARA O LESTE,OKNA PRODUÇÕES CULTURAIS LTDA,ARGENTINA,648,"2017, 2018"
LASCADOS,,SANTA RITA FILMES LTDA,BRASIL,5190,2014
LAST CHRISTMAS,UMA SEGUNDA CHANCE PARA AMAR,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,515109,"2019, 2020"
LAST DAYS IN THE DESERT,ÚLTIMOS DIAS NO DESERTO,MARES FILMES EIRELI,ESTADOS UNIDOS,7577,2016
LAST FLAG FLYING,A MELHOR ESCOLHA,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,16226,2018
LAST NIGHT IN SOHO,NOITE PASSADA EM SOHO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,47133,"2021, 2022"
LAST SEEN ALIVE,CAÇA IMPLACÁVEL,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,112759,2022
LAST VEGAS,ÚLTIMA VIAGEM A VEGAS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,58712,"2014, 2015"
LATE NIGHT WITH THE DEVIL,ENTREVISTA COM O DEMÔNIO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,AUSTRÁLIA,90172,2024
LATITUDES,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,1569,2014
LAURA,,VITRINE FILMES LTDA,BRASIL,139,"2014, 2015, 2017"
LAURENCE ANYWAYS,LAURENCE ANYWAYS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,276,"2014, 2015, 2016"
LAVRA,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,598,"2022, 2023"
LAWRENCE OF ARABIA,LAWRENCE DA ARABIA,CINEMARK BRASIL S.A,REINO UNIDO,2572,2014
LE BRIO,O ORGULHO,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,49505,2018
LE CANCRE,O IGNORANTE,OMF SERVICOS & CONSULTORIA LTDA,FRANÇA,2300,2016
LE CAPITAL,O CAPITAL,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,394,2014
LE CONFESSIONI,AS CONFISSÕES,MARES FILMES EIRELI,FRANÇA,7586,"2016, 2017"
LE FILS DE JOSEPH,O FILHO DE JOSEPH,OMF SERVICOS & CONSULTORIA LTDA,BÉLGICA,7547,"2017, 2018"
LE GRAND BAIN,UM BANHO DE VIDA,PAGU DISTRIBUICAO DE FILMES LTDA.,BÉLGICA,30206,2019
LE GRAND JOUR,O GRANDE DIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,2883,2017
LE GRAND SOIR,A GRANDE NOITE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,2865,2014
LE HAVRE,O PORTO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,191,2015
LE JEUNE AHMED,O JOVEM AHMED,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,7315,2020
LE LIVRE D'IMAGE,IMAGEM E PALAVRA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,6944,"2019, 2020, 2022"
LE MERAVIGLIE,AS MARAVILHAS,RJ DISTRIBUIDORA DE FILMES LTDA,ITÁLIA,7545,"2015, 2016"
LE MYSTERE HENRI PICK,O MISTÉRIO DE HENRI PICK,A2 DISTRIBUIDORA DE FILMES LTDA EPP,BÉLGICA,12749,2019
LE NOM DES GENS,OS NOMES DO AMOR,MARES FILMES EIRELI,FRANÇA,138,2015
LE NOUVEAU,O NOVATO,BONFILM PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,FRANÇA,1819,2017
LE NOUVEAU JOUET,MEU NOVO BRINQUEDO,A2 DISTRIBUIDORA DE FILMES LTDA EPP,FRANÇA,1877,2023
