TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
A FELICIDADE DAS COISAS,,EMBAUBA FILMES LTDA,BRASIL,1455,"2022, 2023"
A FERA NA SELVA,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,3119,2019
A FESTA DE LÉO,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,1351,2024
A FILHA DO PALHAÇO,,EMBAUBA FILMES LTDA,BRASIL,5378,2024
A FILOSOFIA NA ALCOVA,,IVAM CABRAL PRODUCOES - ME,BRASIL,2691,"2017, 2018, 2019"
A FINADA MÃE DA MADAME,,SANTA LUZIA FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,461,2017
A FLOR DO BURITI,,EMBAUBA FILMES LTDA,PORTUGAL,4090,"2023, 2024"
A FLORESTA DE JONATHAS,,VITRINE FILMES LTDA,BRASIL,800,"2014, 2015, 2016"
A FLORESTA QUE SE MOVE,,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",BRASIL,8402,2015
A FRENTE FRIA QUE A CHUVA TRAZ,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1695,2016
A FUGA DA MULHER GORILA,,VITRINE FILMES LTDA,BRASIL,2,2017
A FÁBRICA DE NADA,A FÁBRICA DE NADA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,1738,"2018, 2019"
A GENTE,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,563,"2017, 2018"
A GIRL MISSING,PERFIL DE UMA MULHER,ZETA FILMES LTDA,FRANÇA,466,2021
A GIRL WALKS HOME ALONE AT NIGHT,GAROTA SOMBRIA CAMINHA PELA NOITE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1492,"2015, 2016"
A GLÓRIA E A GRAÇA,,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,5686,2017
A GRANDE VITORIA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,26550,2014
A GUERRA DOS VIZINHOS,,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,106,"2014, 2015"
A HARD DAY,UM DIA DIFÍCIL,P & M DISTRIBUIDORA DE FILMES LTDA,CORÉIA DO SUL,1853,2016
A HAUNTED HOUSE 2,INATIVIDADE PARANORMAL 2,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,296574,2014
A HAUNTING IN VENICE,A NOITE DAS BRUXAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,291224,2023
A HIDDEN LIFE,UMA VIDA OCULTA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ALEMANHA,9169,2020
A HISTORIA DA ETERNIDADE,,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,14420,2015
A HISTÓRIA DE UM SONHO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,4910,2019
A HISTÓRIA DO HOMEM HENRY SOBEL,,CIRCUITO CINEARTE LTDA,BRASIL,1187,2014
A HOLOGRAM FOR THE KING,NEGÓCIO DAS ARÁBIAS,MARES FILMES EIRELI,ALEMANHA,49150,2016
A HORA DA ESTRELA,,VITRINE FILMES LTDA,BRASIL,18969,2024
A HORA E A VEZ DE AUGUSTO MATRAGA,,NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.,BRASIL,2132,2015
A ILHA DOS ILÚS,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1411,2023
A IMAGEM DA TOLERÂNCIA,,CIRCUITO CINEARTE LTDA,BRASIL,671,2018
A IRMANDADE,,FREDERICO DA CRUZ MACHADO - ME,BRASIL,684,2019
A JANGADA DE WELLES,,SEREIA DISTRIBUIÇÃO DE FILMES LTDA,BRASIL,1014,2022
A JAULA,,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,22967,2022
A JOURNAL FOR JORDAN,UM DIÁRIO PARA JORDAN: MEMÓRIAS DE AMOR E PERDA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,227,2022
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS,,44 BICO LARGO COMERCIAL LTDA,BRASIL,74,2023
A LATE QUARTET,O ÚLTIMO CONCERTO,CANNES PRODUÇÕES S/A,ESTADOS UNIDOS,14929,2014
A LEI DA ÁGUA (NOVO CÓDIGO FLORESTAL),,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,1611,2015
A LITTLE CHAOS,UM POUCO DE CAOS,WMIX DISTRIBUIDORA LTDA.,REINO UNIDO,16937,2015
A LONG WAY DOWN,UMA LONGA QUEDA,ANTONIO FERNANDES FILMES LTDA,INGLATERRA,4079,2014
A LOUCURA ENTRE NÓS,,AGUAS DE MARCO FILMES LTDA ME,BRASIL,5173,"2016, 2017"
